0094 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0095 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0096 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0097 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0098 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0099 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0100 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0101 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0102 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0103 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0104 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0105 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0106 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0107 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0108 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0109 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0110 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0111 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0112 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0113 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0114 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0115 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0116 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0117 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0118 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0119 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0120 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0121 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0122 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0123 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0124 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0125 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0126 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0127 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0128 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0129 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0130 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0131 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0132 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0133 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0134 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
0135 pos=(0, 2) target=('store', (4, 6)) remaining_route_len=265
