Frame 26 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 26 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 26 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 27 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 27 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 27 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 28 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 28 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 28 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 29 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 29 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 29 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 30 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 30 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 30 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 31 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 31 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 31 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 32 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 32 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 32 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 33 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 33 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 33 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 34 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 34 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 34 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 35 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 35 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 35 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 36 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 36 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 36 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 37 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 37 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 37 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 38 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 38 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 38 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 39 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 39 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 39 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 40 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 40 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 40 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 41 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 41 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 41 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 42 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 42 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 42 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 43 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 43 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 43 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 44 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 44 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 44 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 45 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 45 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 45 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 46 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 46 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 46 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 47 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 47 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 47 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 48 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 48 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 48 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 49 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 49 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 49 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 50 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 50 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 50 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 51 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 51 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 51 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 52 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 52 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 52 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 53 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 53 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 53 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 54 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 54 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 54 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 55 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 55 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 55 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 56 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 56 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 56 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 57 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 57 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 57 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 58 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 58 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 58 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 59 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 59 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 59 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 60 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 60 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 60 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 61 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 61 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 61 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 62 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 62 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 62 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 63 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 63 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 63 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 64 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 64 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 64 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 65 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 65 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 65 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 66 BFS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
Frame 66 DFS: targets=[('store', (3, 30)), ('house', (28, 30))] in_route=True
Frame 66 UCS: targets=[('store', (4, 6)), ('house', (19, 25))] in_route=True
